SAMPLE_ID,BAM
SC056068,fixed_rg/SC056068.bam
SC056073,fixed_rg/SC056073.bam
SC056082,fixed_rg/SC056082.bam
SC074198,fixed_rg/SC074198.bam
SC074199,fixed_rg/SC074199.bam
SC074201,fixed_rg/SC074201.bam
SC109440,fixed_rg/SC109440.bam
SC109446,fixed_rg/SC109446.bam
SC109448,fixed_rg/SC109448.bam
SC109457,fixed_rg/SC109457.bam
SC109459,fixed_rg/SC109459.bam
SC109515,fixed_rg/SC109515.bam
SC260670,fixed_rg/SC260670.bam
SC260700,fixed_rg/SC260700.bam
SC260706,fixed_rg/SC260706.bam
SC260709,fixed_rg/SC260709.bam
SC260720,fixed_rg/SC260720.bam
SC260721,fixed_rg/SC260721.bam
SC501095,fixed_rg/SC501095.bam
SC501096,fixed_rg/SC501096.bam
SC501105,fixed_rg/SC501105.bam
SC501108,fixed_rg/SC501108.bam
SC501110,fixed_rg/SC501110.bam
SC501111,fixed_rg/SC501111.bam
