Sample	DRAGEN: Mapping_mqc-generalstats-dragen_mapping-Total_input_reads	DRAGEN: Mapping_mqc-generalstats-dragen_mapping-Reads_with_mate_sequenced_pct	DRAGEN: Mapping_mqc-generalstats-dragen_mapping-QC_failed_reads_pct	DRAGEN: Mapping_mqc-generalstats-dragen_mapping-Mapped_reads_pct	DRAGEN: Mapping_mqc-generalstats-dragen_mapping-Unmapped_reads_pct	DRAGEN: Mapping_mqc-generalstats-dragen_mapping-Number_of_duplicate_marked_reads_pct	DRAGEN: Mapping_mqc-generalstats-dragen_mapping-Number_of_unique_mapped_reads_excl_duplicate_marked_reads_pct	DRAGEN: Mapping_mqc-generalstats-dragen_mapping-Properly_paired_reads_pct	DRAGEN: Mapping_mqc-generalstats-dragen_mapping-Not_properly_paired_reads_discordant_pct	DRAGEN: Mapping_mqc-generalstats-dragen_mapping-Paired_reads_mapped_to_different_chromosomes_MAPQ_10_pct	DRAGEN: Mapping_mqc-generalstats-dragen_mapping-Insert_length_median	DRAGEN: Mapping_mqc-generalstats-dragen_mapping-Q30_bases_pct	DRAGEN: Mapping_mqc-generalstats-dragen_mapping-Total_alignments	DRAGEN: Mapping_mqc-generalstats-dragen_mapping-Secondary_alignments_pct	DRAGEN: Variant calling_mqc-generalstats-dragen_variant_calling-Total	DRAGEN: Variant calling_mqc-generalstats-dragen_variant_calling-Multiallelic_pct	DRAGEN: Variant calling_mqc-generalstats-dragen_variant_calling-SNPs_pct	DRAGEN: Variant calling_mqc-generalstats-dragen_variant_calling-Indels_pct	DRAGEN: Variant calling_mqc-generalstats-dragen_variant_calling-Ti_Tv_ratio	DRAGEN: Variant calling_mqc-generalstats-dragen_variant_calling-Het_Hom_ratio	DRAGEN: Ploidy estimation_mqc-generalstats-dragen_ploidy_estimation-Ploidy_estimation	DRAGEN: Coverage_mqc-generalstats-dragen_coverage-target_bed_average_alignment_coverage_over_target_region	DRAGEN: Coverage_mqc-generalstats-dragen_coverage-wgs_average_alignment_coverage_over_genome	DRAGEN-FastQC: FastQC_mqc-generalstats-dragen_fastqc_fastqc-avg_gc_content_percent	Picard: InsertSizeMetrics_mqc-generalstats-picard_insertsizemetrics-summed_median	Picard: InsertSizeMetrics_mqc-generalstats-picard_insertsizemetrics-summed_mean	Picard: Mark Duplicates_mqc-generalstats-picard_mark_duplicates-PERCENT_DUPLICATION	Picard: WgsMetrics_mqc-generalstats-picard_wgsmetrics-MEDIAN_COVERAGE	Picard: WgsMetrics_mqc-generalstats-picard_wgsmetrics-MEAN_COVERAGE	Picard: WgsMetrics_mqc-generalstats-picard_wgsmetrics-SD_COVERAGE	Picard: WgsMetrics_mqc-generalstats-picard_wgsmetrics-PCT_30X	Picard: QualityYieldMetrics_mqc-generalstats-picard_qualityyieldmetrics-TOTAL_READS	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SC501095	2554951260	100.0	0.0	96.22	3.78	4.5	91.72	94.05	1.22	0.85	332.0	90.36	2467150955	0.0	4849223	1.9	80.43	18.541939605582172	1.99	1.54	XY	107.13	104.1	41.41061958637534	346	349.230432	0.043088	89.0	81.937604	28.370328	0.929407							
SC501095_B22CHLTLT3.R1																																	17.628640897377977	40.0	143.9246551261244	151	9.090909090909092	1118022855.0
SC501095_B22CHLTLT3.R2																																	18.697937405599703	40.0	143.9188850285176	151	9.090909090909092	1118022855.0
SC501096	2380036766	100.0	0.0	96.64	3.36	4.39	92.25	94.27	1.3	0.92	369.0	88.99	2307727394	0.0	4904207	1.93	80.44	19.03514676276919	1.99	1.55	XX	103.24	100.34	41.38892350614112	384	380.215781	0.04006	86.0	80.242217	26.829487	0.925083							
SC501096_B22CHLTLT3.R1																																	16.711428533804437	40.0	146.44130850087402	151	9.090909090909092	1026870235.0
SC501096_B22CHLTLT3.R2																																	16.352261497881315	40.0	146.43817273075405	151	9.090909090909092	1026870235.0
SC501105	2617623186	100.0	0.0	96.64	3.36	7.26	89.38	94.72	1.05	0.74	302.0	90.56	2537787864	0.0	4885301	1.94	80.39	19.082529408116304	1.99	1.57	XX	106.41	103.41	41.39030094810408	324	331.833678	0.069687	86.0	80.600423	26.836211	0.925438							
SC501105_B22CHLTLT3.R1																																	18.09117170566668	40.0	143.03564271432967	151	9.090909090909092	1150859489.0
SC501105_B22CHLTLT3.R2																																	19.377708004137702	40.0	143.0301213886937	151	9.090909090909092	1150859489.0
SC501108	2465729128	100.0	0.0	96.5	3.5	6.79	89.71	94.08	1.32	0.82	380.0	88.34	2386880662	0.0	4867227	1.89	80.45	18.518717125788463	1.98	1.59	XY	102.28	99.47	41.40206216959471	376	379.278465	0.062	83.0	77.011117	26.864694	0.927954							
SC501108_B22CHLTLT3.R1																																	18.512882149861483	40.0	145.53518344141773	151	9.090909090909092	1043970971.0
SC501108_B22CHLTLT3.R2																																	18.805945385149926	40.0	145.53174675103108	151	9.090909090909092	1043970971.0
SC501110	2223890036	100.0	0.0	96.79	3.21	8.29	88.5	94.43	1.4	0.95	347.0	90.16	2159423792	0.0	4884094	1.92	80.41	19.068326694776964	1.99	1.55	XX	91.51	88.91	41.387348926357674	362	363.926459	0.078434	76.0	71.446783	24.145382	0.923627							
SC501110_B22CHLTLT3.R1																																	16.71685470857264	40.0	145.71560162355067	151	9.090909090909092	974809612.0
SC501110_B22CHLTLT3.R2																																	16.5500358691459	40.0	145.71422548201136	151	18.181818181818183	974809612.0
SC501111	2514803832	100.0	0.0	96.46	3.54	11.92	84.54	93.86	1.5	1.06	385.0	90.14	2433874892	0.0	4844316	1.9	80.42	18.546519260923525	1.99	1.57	XY	98.72	95.98	41.38055659943916	386	383.00065500000005	0.112475	85.0	78.571931	27.191276	0.929079							
SC501111_B22CHLTLT3.R1																																	20.57760159401421	40.0	146.2555217347815	151	9.090909090909092	1096731913.0
SC501111_B22CHLTLT3.R2																																	20.513204079529686	40.0	146.2501287231167	151	9.090909090909092	1096731913.0
SD162355	2694630052	100.0	0.0	96.33	3.67	10.42	85.91	93.82	1.57	1.21	326.0	91.66	2606530278	0.0	4896047	1.93	80.43	18.527681617435455	1.98	1.6	XY	104.9	102.13	41.48326044491942	327	335.208069	0.101021	87.0	81.00316	28.322854	0.92841							
SD162355_A22FKHJLT3.R1																																	20.99576786645541	41.0	143.53899287369103	151	18.181818181818183	1196359016.0
SD162355_A22FKHJLT3.R2																																	22.353644242438875	41.0	143.52563826459263	151	9.090909090909092	1196359016.0
SD162357	2583116404	100.0	0.0	96.59	3.41	18.11	78.48	94.25	1.43	1.08	390.0	92.11	2503228916	0.0	4877362	1.92	80.38	18.580617965203324	1.99	1.57	XY	93.66	91.37	41.55083089372692	380	381.491424	0.177606	82.0	76.274787	26.901273	0.926837							
SD162357_A22FKHJLT3.R1																																	23.323564973880522	41.0	146.54726372683646	151	9.090909090909092	1157119871.0
SD162357_A22FKHJLT3.R2																																	24.48869943303653	41.0	146.53344639001537	151	9.090909090909092	1157119871.0
SD162359	2751117024	100.0	0.0	96.75	3.25	9.64	87.11	94.85	1.11	0.83	296.0	92.53	2670773849	0.0	4946727	1.98	80.45	19.00598112651052	1.98	1.61	XX	108.75	106.05	41.58977915179314	320	329.131088	0.09475	90.0	84.736576	28.021616	0.925432							
SD162359_A22FKHJLT3.R1																																	19.647363975649682	41.0	143.35558087854525	151	9.090909090909092	1240864542.0
SD162359_A22FKHJLT3.R2																																	20.95623866088006	41.0	143.33957598169488	151	9.090909090909092	1240864542.0
quality_yield																																2481729084						
