Module	Section	Sample Name	Source
DRAGEN	mapping_metrics	SC501095	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501095/SC501095.mapping_metrics.csv
DRAGEN	mapping_metrics	SC501096	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501096/SC501096.mapping_metrics.csv
DRAGEN	mapping_metrics	SC501105	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501105/SC501105.mapping_metrics.csv
DRAGEN	mapping_metrics	SC501108	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501108/SC501108.mapping_metrics.csv
DRAGEN	mapping_metrics	SC501110	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501110/SC501110.mapping_metrics.csv
DRAGEN	mapping_metrics	SC501111	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501111/SC501111.mapping_metrics.csv
DRAGEN	mapping_metrics	SD162355	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SD162355/SD162355.mapping_metrics.csv
DRAGEN	mapping_metrics	SD162357	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SD162357/SD162357.mapping_metrics.csv
DRAGEN	mapping_metrics	SD162359	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SD162359/SD162359.mapping_metrics.csv
DRAGEN	vc_metrics	SC501095	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501095/SC501095.vc_metrics.csv
DRAGEN	vc_metrics	SC501096	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501096/SC501096.vc_metrics.csv
DRAGEN	vc_metrics	SC501105	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501105/SC501105.vc_metrics.csv
DRAGEN	vc_metrics	SC501108	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501108/SC501108.vc_metrics.csv
DRAGEN	vc_metrics	SC501110	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501110/SC501110.vc_metrics.csv
DRAGEN	vc_metrics	SC501111	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501111/SC501111.vc_metrics.csv
DRAGEN	vc_metrics	SD162355	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SD162355/SD162355.vc_metrics.csv
DRAGEN	vc_metrics	SD162357	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SD162357/SD162357.vc_metrics.csv
DRAGEN	vc_metrics	SD162359	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SD162359/SD162359.vc_metrics.csv
DRAGEN	ploidy_estimation_metrics	SC501095	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501095/SC501095.ploidy_estimation_metrics.csv
DRAGEN	ploidy_estimation_metrics	SC501096	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501096/SC501096.ploidy_estimation_metrics.csv
DRAGEN	ploidy_estimation_metrics	SC501105	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501105/SC501105.ploidy_estimation_metrics.csv
DRAGEN	ploidy_estimation_metrics	SC501108	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501108/SC501108.ploidy_estimation_metrics.csv
DRAGEN	ploidy_estimation_metrics	SC501110	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501110/SC501110.ploidy_estimation_metrics.csv
DRAGEN	ploidy_estimation_metrics	SC501111	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501111/SC501111.ploidy_estimation_metrics.csv
DRAGEN	ploidy_estimation_metrics	SD162355	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SD162355/SD162355.ploidy_estimation_metrics.csv
DRAGEN	ploidy_estimation_metrics	SD162357	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SD162357/SD162357.ploidy_estimation_metrics.csv
DRAGEN	ploidy_estimation_metrics	SD162359	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SD162359/SD162359.ploidy_estimation_metrics.csv
DRAGEN	overall_mean_cov_metrics	SC501095.target_bed	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501095/SC501095.target_bed_overall_mean_cov.csv
DRAGEN	overall_mean_cov_metrics	SC501095.wgs	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501095/SC501095.wgs_overall_mean_cov.csv
DRAGEN	overall_mean_cov_metrics	SC501096.target_bed	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501096/SC501096.target_bed_overall_mean_cov.csv
DRAGEN	overall_mean_cov_metrics	SC501096.wgs	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501096/SC501096.wgs_overall_mean_cov.csv
DRAGEN	overall_mean_cov_metrics	SC501105.target_bed	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501105/SC501105.target_bed_overall_mean_cov.csv
DRAGEN	overall_mean_cov_metrics	SC501105.wgs	/vf/users/DCEG_Trios/novaseq_benchmark/TriosCompass_v2/output/dragen_gvcf/SC501105/SC501105.wgs_overall_mean_cov.csv
