# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
96	0.000000	0.000000
99	0.000000	0.000000
108	0.000000	0.000000
123	0.000000	0.000000
124	0.000000	0.000000
127	0.000000	0.000000
132	0.000000	0.000000
138	0.000000	0.000000
139	0.000000	0.000000
145	0.000000	0.000000
152	0.000000	0.000000
153	0.000000	0.000000
159	0.000000	0.000000
164	0.000000	0.000000
168	0.000000	0.000000
170	0.000000	0.000000
177	0.000000	0.000000
188	0.000000	0.000000
190	0.000000	0.000000
192	0.000000	0.000000
196	0.000000	0.000000
200	0.000000	0.000000
202	0.000000	0.000000
211	0.000000	0.000000
214	0.000000	0.000000
218	0.000000	0.000000
219	0.000000	0.000000
220	0.000000	0.000000
221	0.000000	0.000000
222	0.000000	0.000000
223	0.000000	0.000000
225	0.000000	0.000000
226	0.000000	0.000000
227	0.000000	0.000000
228	0.000000	0.000000
229	0.000000	0.000000
230	0.000000	0.000000
231	0.000000	0.000000
233	0.000000	0.000000
234	0.000000	0.000000
235	0.000000	0.000000
236	0.000000	0.000000
237	0.000000	0.000000
238	0.000000	0.000000
239	0.000000	0.000000
240	0.000000	0.000000
241	0.000000	0.000000
242	0.000000	0.000000
244	0.000000	0.000000
245	0.000000	0.000000
246	0.000000	0.000000
247	0.000000	0.000000
248	0.000000	0.000000
249	0.000000	0.000000
250	0.000000	0.000000
251	0.000000	0.000000
252	0.000000	0.000000
253	0.000000	0.000000
255	0.000000	0.000000
258	0.000000	0.000000
260	0.000000	0.000000
261	0.000000	0.000000
262	0.000000	0.000000
263	0.000000	0.000000
267	0.000000	0.000000
268	0.000000	0.000000
269	0.000000	0.000000
270	0.000000	0.000000
273	0.000000	0.000000
275	0.000000	0.000000
276	0.000000	0.000000
282	0.000000	0.000000
294	0.000000	0.000000
295	0.000000	0.000000
296	0.000000	0.000000
305	0.000000	0.000000
313	0.000000	0.000000
314	0.000000	0.000000
327	0.000000	0.000000
