# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
101	0.000000	0.000000
117	0.000000	0.000000
142	0.000000	0.000000
162	0.000000	0.000000
163	0.000000	0.000000
174	0.000000	0.000000
180	0.000000	0.000000
181	0.000000	0.000000
189	0.000000	0.000000
190	0.000000	0.000000
198	0.000000	0.000000
199	0.000000	0.000000
202	0.000000	0.000000
208	0.000000	0.000000
210	0.000000	0.000000
212	0.000000	0.000000
215	0.000000	0.000000
216	0.000000	0.000000
218	0.000000	0.000000
219	0.000000	0.000000
220	0.000000	0.000000
222	0.000000	0.000000
223	0.000000	0.000000
227	0.000000	0.000000
228	0.000000	0.000000
230	0.000000	0.000000
233	0.000000	0.000000
234	0.000000	0.000000
235	0.000000	0.000000
237	0.000000	0.000000
239	0.000000	0.000000
241	0.000000	0.000000
243	0.000000	0.000000
244	0.000000	0.000000
245	0.000000	0.000000
246	0.000000	0.000000
247	0.000000	0.000000
248	0.000000	0.000000
250	0.000000	0.000000
251	0.000000	0.000000
253	0.000000	0.000000
254	0.000000	0.000000
257	0.000000	0.000000
260	0.000000	0.000000
263	0.000000	0.000000
264	0.000000	0.000000
268	0.000000	0.000000
270	0.000000	0.000000
274	0.000000	0.000000
279	0.000000	0.000000
285	0.000000	0.000000
288	0.000000	0.000000
289	0.000000	0.000000
293	0.000000	0.000000
308	0.000000	0.000000
